duration,num_trips,utilization,propagated_delay,propagated_delay_err,trip_distance,deadhead_distance
3.3999996185302734,4,0.808823620159331,0.19482259188792794,0.1317594946392028,70.26599999999999,0.0014259021565036771
0.6833333969116211,1,1.0,0.0,0.0,18.649,0.0
3.066666603088379,3,0.8369562073781429,0.003427451231011047,0.013147607967179207,62.36099999999999,0.0014259021565036771
2.25,3,0.7037039862738715,0.0,0.0,39.352999999999994,0.0024552431797201283
3.2666664123535156,5,0.6989794905510331,0.026642597196636367,0.05037436411652679,70.372,0.00413839758807929
0.8833332061767578,1,1.0,0.0,0.0,21.121,0.0
3.0166664123535156,3,0.8563535579747623,0.004332541327630731,0.017807208667643456,63.238,0.0007365269044748857
2.6499996185302734,3,0.836477939890439,0.09478670242054016,0.05993553548765442,59.32900000000001,0.0022321001652744602
3.1666669845581055,3,0.7526317643986988,0.23663204743828384,0.12651829871865547,61.58,0.0014259021565036771
3.433333396911621,4,0.5388350525858786,0.14628464594176557,0.07766432115558806,61.739000000000004,0.1311755412289252
